"id";"amount";"created";"currency";"description";"fee";"net";"source";"status";"type"
"txn_1HtFUwCmAIcalbBub4KNJ0Wi";-129;"2020-11-30T16:45:09Z";"eur";"Curso 30383";"-1,548";"-127,452";"ch_1HtFUvCmAIcalbBul2YL3n0I";"available";"charge"
"txn_1HtLMsCmAIcalbBukR0x6DYz";-199;"2020-11-30T23:01:13Z";"eur";"Curso 30401";"-2,388";"-196,612";"ch_1HtLMrCmAIcalbBuImIez0aU";"available";"charge"
"txn_1Ht8sCCmAIcalbBuJIGBvKbF";-249;"2020-11-30T09:40:43Z";"eur";"Curso 30403";"-2,988";"-246,012";"ch_1Ht8sBCmAIcalbBuaJ4hErgA";"available";"charge"
"txn_1Ht8YdCmAIcalbBu4fKgSs6X";-199;"2020-11-30T09:20:30Z";"eur";"Curso 30412";"-2,388";"-196,612";"ch_1Ht8YcCmAIcalbBuBYWPSBHE";"available";"charge"
"txn_1HtCIjCmAIcalbBuiZRDxoK5";-179;"2020-11-30T13:20:20Z";"eur";"Curso 30417";"-2,148";"-176,852";"ch_1HtCIiCmAIcalbBu4f3LFka3";"available";"charge"
"txn_1HsQPbCmAIcalbBuZBbV6WR9";-199;"2020-11-28T10:12:14Z";"eur";"Curso 30422";"-2,388";"-196,612";"ch_1HsQPaCmAIcalbBu1FGcVkmt";"available";"charge"
"txn_1Ht8y1CmAIcalbBuPQRTzn7y";-199;"2020-11-30T09:46:44Z";"eur";"Curso 30423";"-2,388";"-196,612";"ch_1Ht8y0CmAIcalbBuAlvDX0iy";"available";"charge"
"txn_1HsUdoCmAIcalbBuYctvwiWp";-199;"2020-11-28T14:43:12Z";"eur";"Curso 30436";"-2,388";"-196,612";"ch_1HsFvlCmAIcalbButsXdq7Bi";"available";"charge"
"txn_1Hsv7tCmAIcalbBuggK5WK61";-249;"2020-11-29T19:00:00Z";"eur";"Curso 30438";"-2,988";"-246,012";"ch_1Hsv7sCmAIcalbBuZ8y3YMPG";"available";"charge"
"txn_1HsTfoCmAIcalbBuxcWPq8CA";-199;"2020-11-28T13:41:10Z";"eur";"Curso 30441";"-2,388";"-196,612";"ch_1HsTfmCmAIcalbBuJ3bOPyja";"available";"charge"
"txn_1HsmwjCmAIcalbBubcu9gZOR";-199;"2020-11-29T10:15:56Z";"eur";"Curso 30442";"-2,388";"-196,612";"ch_1HsmwiCmAIcalbBuzxuYJdmU";"available";"charge"
"txn_1HtHmpCmAIcalbBuywbsHi6A";-199;"2020-11-30T19:11:46Z";"eur";"Curso 30444";"-2,388";"-196,612";"ch_1HtHmoCmAIcalbBuqwzBmBun";"available";"charge"
"txn_1HtBiyCmAIcalbBuKBxAmYJm";-249;"2020-11-30T12:43:23Z";"eur";"Curso 30456";"-2,988";"-246,012";"ch_1HtBixCmAIcalbBuWjITIWGV";"available";"charge"
